"tau","Huber_eff","Huber_Bias","MoHuber_eff","MoHuber_Bias"
0.1,0.698178245646107,0.0875599123562392,0.925096601621981,0.0759553532736443
0.4,0.781050325529362,0.0826441679207864,0.884909323256873,0.0777347531757634
0.7,0.851907308933466,0.0794183107717469,0.908728658574589,0.0768025246953293
1,0.911143144547544,0.0767200634502407,0.942441457993681,0.075428377864808
1.3,0.955672184014528,0.0748785470089482,0.971247071150138,0.0743017632945025
1.6,0.980409839081402,0.073975305789091,0.987584353613212,0.0737259360098802
1.9,0.991916415588305,0.0735935489146702,0.995078497310652,0.0734754179656041
2.2,0.996313615035694,0.0734325253897258,0.997726237930982,0.0733918257082176
2.5,0.998154699976697,0.0733791363319566,0.998798326735425,0.0733567990882616
2.8,0.999578631890497,0.0733540757781155,0.999761658301721,0.0733420647278281
3.1,0.999889809453905,0.0733387970286644,0.999946109373206,0.0733341927323416
3.4,0.999954934115755,0.0733329277390085,0.999974619276605,0.0733312836750286
3.7,0.999966604805015,0.0733268632373462,0.999976192137237,0.0733265996542369
4,0.999977245528878,0.0733271691722955,0.999982246946849,0.0733267956168651
4.3,0.999992216750424,0.07332710395976,0.999993874885546,0.0733266982601101
4.6,0.999995824150105,0.0733258380042007,0.999996621905517,0.0733256469461413
4.9,0.999994297379477,0.073325364398734,0.99999534377261,0.0733252557893835
