"tau","Huber_eff","Huber_Bias","MoHuber_eff","MoHuber_Bias"
0.1,0.698178245646107,0.0875599123562392,0.999786412648776,0.0733508776239414
0.4,0.781050325529362,0.0826441679207864,0.99993722707807,0.0733369921146253
0.7,0.851907308933466,0.0794183107717469,0.999872505674843,0.0733232416031575
1,0.911143144547544,0.0767200634502407,1.00002199693901,0.0733123251483291
1.3,0.955672184014528,0.0748785470089482,1.00034743840788,0.0733038168990885
1.6,0.980409839081402,0.073975305789091,1.00042383328259,0.0733029786323612
1.9,0.991916415588305,0.0735935489146702,1.00032819289167,0.0733061114416312
2.2,0.996313615035694,0.0734325253897258,1.00013738374274,0.0733122853111855
2.5,0.998154699976697,0.0733791363319566,1.00002551860733,0.0733185785499166
2.8,0.999578631890497,0.0733540757781155,1.00002702255303,0.0733230754873218
3.1,0.999889809453905,0.0733387970286644,1.00001357142527,0.073325263153726
3.4,0.999954934115755,0.0733329277390085,1.00000413780077,0.0733253149122953
3.7,0.999966604805015,0.0733268632373462,0.999999781682728,0.0733248760898424
4,0.999977245528878,0.0733271691722955,0.999998945696539,0.0733249146162114
4.3,0.999992216750424,0.07332710395976,0.999999694296662,0.0733249374530498
4.6,0.999995824150105,0.0733258380042007,0.999999778351486,0.0733248486615385
4.9,0.999994297379477,0.073325364398734,0.99999952625242,0.0733248179840737
