"tau","Huber_MSE","Huber_Bias","MoHuber_MSE","MoHuber_Bias"
0.1,0.00884554302568062,0.105575947018731,0.00906628464422273,0.106875484109789
0.4,0.00881370221831314,0.105463762606277,0.00855703920595298,0.103744909954718
0.7,0.00984234293827691,0.112006321826855,0.00876295296423927,0.106012019497091
1,0.0113672883979599,0.119988707695547,0.00960502245165358,0.110661657582633
1.3,0.0131298993636865,0.128535315657096,0.0105186803079746,0.115643124456143
1.6,0.0150802471237424,0.137381404370935,0.0116241422288236,0.121765491641653
1.9,0.0171211657499774,0.14641452712496,0.01263306355107,0.126403440320102
2.2,0.0192259501278185,0.155495656436237,0.0138418085004961,0.132329292656347
2.5,0.0213639284183646,0.164268943041593,0.0149344705791204,0.137342855191474
2.8,0.0235532445670711,0.17266409045229,0.0161732630930057,0.142311074786308
3.1,0.0258083453657403,0.180847820669442,0.0172453985480145,0.146245606174215
3.4,0.0280863527326923,0.18864970983412,0.0184467567909672,0.151281627755493
3.7,0.0303606486731068,0.196018681592823,0.0194078314174188,0.154942239780998
4,0.0326472273514021,0.203042517367122,0.0206397243918535,0.159491491381911
4.3,0.0349521869275638,0.209922358418069,0.0215447186689161,0.164489719328976
4.6,0.0372628513683649,0.216675927184479,0.0228346400713944,0.169392972658619
4.9,0.0395783386616889,0.223235602949474,0.0237362684694829,0.172806328517446
