"tau","Huber_MSE","Huber_Bias","MoHuber_MSE","MoHuber_Bias"
0.1,0.00884554302568062,0.105575947018731,0.00959362809562784,0.110299841008277
0.4,0.00881370221831314,0.105463762606277,0.00908838856748049,0.10731923834851
0.7,0.00984234293827691,0.112006321826855,0.00932837601893409,0.109361693176732
1,0.0113672883979599,0.119988707695547,0.0100766986840151,0.112923670687017
1.3,0.0131298993636865,0.128535315657096,0.0108927905351204,0.117675428313724
1.6,0.0150802471237424,0.137381404370935,0.0119873611583714,0.123529194270876
1.9,0.0171211657499774,0.14641452712496,0.0129743719004466,0.127990870436037
2.2,0.0192259501278185,0.155495656436237,0.0141721798091201,0.133867503357838
2.5,0.0213639284183646,0.164268943041593,0.0152007605774283,0.138617377274664
2.8,0.0235532445670711,0.17266409045229,0.016411406481064,0.14327669505172
3.1,0.0258083453657403,0.180847820669442,0.0174919702312073,0.147362495124434
3.4,0.0280863527326923,0.18864970983412,0.0186562170074192,0.152094719630553
3.7,0.0303606486731068,0.196018681592823,0.0196015375939219,0.155645513239173
4,0.0326472273514021,0.203042517367122,0.0208402762160132,0.160212292980311
4.3,0.0349521869275638,0.209922358418069,0.0217344803147097,0.165225817010243
4.6,0.0372628513683649,0.216675927184479,0.0230111940668297,0.170055820323808
4.9,0.0395783386616889,0.223235602949474,0.0239117045930374,0.173528357875965
