"tau","Huber_eff","Huber_Bias","MoHuber_eff","MoHuber_Bias"
0.1,0.698178245646107,0.0875599123562392,0.825910657095576,0.0804635750297173
0.4,0.781050325529362,0.0826441679207864,0.819977976579077,0.0807429832112319
0.7,0.851907308933466,0.0794183107717469,0.871283408580443,0.0785031550967643
1,0.911143144547544,0.0767200634502407,0.921492680568228,0.0762794513506648
1.3,0.955672184014528,0.0748785470089482,0.960745248511077,0.0746867942676868
1.6,0.980409839081402,0.073975305789091,0.982756285254925,0.0738960628182285
1.9,0.991916415588305,0.0735935489146702,0.992951074748373,0.0735543287656969
2.2,0.996313615035694,0.0734325253897258,0.996767583319221,0.0734200669237392
2.5,0.998154699976697,0.0733791363319566,0.998360727541333,0.0733713853537623
2.8,0.999578631890497,0.0733540757781155,0.999639009770454,0.0733503884819357
3.1,0.999889809453905,0.0733387970286644,0.999908444597602,0.0733372641531031
3.4,0.999954934115755,0.0733329277390085,0.999961392000464,0.0733324237452654
3.7,0.999966604805015,0.0733268632373462,0.999969879296598,0.073326780627969
4,0.999977245528878,0.0733271691722955,0.999978800169033,0.073327057501489
4.3,0.999992216750424,0.07332710395976,0.999992731882456,0.0733269822709337
4.6,0.999995824150105,0.0733258380042007,0.99999606644158,0.0733257807143405
4.9,0.999994297379477,0.073325364398734,0.999994611700245,0.0733253318123185
