tau,mse,bias
1.7,0.0326432128251028,0.47762381466387
1.9,0.029424603286007,0.453202286162692
2.1,0.0275389537704053,0.437766528650764
2.3,0.0264569339870388,0.429573889840649
2.5,0.0261556927147976,0.426513826974948
2.7,0.0263633027877862,0.428180445942898
2.9,0.0266591539177567,0.430538104897359
3.1,0.0271289064822518,0.434756790605802
3.3,0.0278156778363379,0.440118266231117
3.5,0.0285528567005985,0.44694282374003
