"power","mse","bias"
1.05,0.0260138540295938,0.425938655711631
1.1,0.0259792927672064,0.425556101041915
1.5,0.0259283239247763,0.425007308487863
1.8,0.0259947030570405,0.425404567690615
2,0.0260856975278097,0.426034753394476
2.2,0.0262102428192918,0.427024068729396
2.5,0.0263896705339714,0.42845331565228
2.8,0.0265411022087419,0.42971433152714
3,0.026652693271128,0.43034164747254
3.2,0.0267892386771259,0.431475072225891
3.5,0.027004710729945,0.433054093601257
3.7,0.0270704472688385,0.433707183437437
4,0.0272294813314365,0.434696281987028
